CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
Courtyard by Marriott Berlin Teltow|MSB||SXFCY|a1W1I000000aUXEUA2|M|Courtyard By Marriott|INTL|Europe||||Deflagged||
Georgian Towers|Other||WASLW|a1W1I000000aUXFUA2|M|Marriott ExecuStay|NALO|East||||Deflagged||
Courtyard by Marriott Berlin-Koepenick|MSB||BERCY|a1W1I000000aUXGUA2|M|Courtyard By Marriott|INTL|Europe||||Deflagged||
Marriott Valley Forge Suites|FS||PHLCB|a1W1I000000aUYCUA2|F|Marriott Hotels & Resorts|NALO|East||||Deflagged||
New York Marriott World Trade Center|FS||NYCWT|a1W1I000000aUYDUA2|M|Marriott Hotels & Resorts|NALO|East||||Deflagged||
NH Hotels - Project Planet 2|Other|||a1W1I000000aUYEUA2|M|Independent|INTL|Europe||||Cancelled||
Shanghai Marriott Hotel Minhang|FS|0011I00000cJSKkQAO|SHAMN|a1W1I000000aUYFUA2|M|Marriott Hotels & Resorts|INTL|Greater China||0011I00000cJSrjQAG||Pre-Opening||
Courtyard by Marriott Frankfurt Mainzer Landstrasse|MSB|0011I00000cJSKkQAO||a1W1I000000aUYGUA2|M|Courtyard By Marriott|INTL|Europe||0011I00000cJU4sQAG||Cancelled||
Ramada-Treff Hotel Rheingold|Other||BYUTR|a1W1I000000aUZRUA2||Ramada Affiliate|INTL|Europe||||Deflagged||
Ramada Treff Das Brusttuch|Other||HAJDB|a1W1I000000aUZSUA2||Ramada Intl|INTL|Europe||||Deflagged||
Ramada Treff Apartment Granetal|Other||HAJTG|a1W1I000000aUZTUA2||Ramada Intl|INTL|Europe||||Deflagged||
Ramada Treff Diemelsee|Other||PADFD|a1W1I000000aUZUUA2||Ramada Intl|INTL|Europe||||Deflagged||
Ramada-Treff Schwarzwald|Other||STRST|a1W1I000000aUZVUA2||Ramada Affiliate|INTL|Europe||||Deflagged||
Ramada Hotel Garni Neckarsulm|Other||ZNJGR|a1W1I000000aUZWUA2||Ramada Intl|INTL|Europe||||Deflagged||
Courtyard New World Qingdao|MSB||-|a1W1I000000aUZXUA2|M|Courtyard By Marriott|INTL|Greater China||||Deflagged||
Renaissance St. Louis Grand Hotel|FS||STLDT|a1W1I000000aUabUAE|M|Marriott Hotels & Resorts|NALO|West||||Deflagged||
CY GA Atlanta John's Creek USA|MSB|||a1W1I000000aUacUAE|F|Courtyard By Marriott|NALO|East||||Cancelled||
Fort Lauderdale Airport|MSB|0011I00000cJSFlQAO|FLLAP|a1W1I000000aUadUAE|F|Fairfield Inn & Suites|NALO|East|0011I00000cJU8LQAW|0011I00000cJU8LQAW||Cancelled||
AC Hotel By Marriott Los Angeles Glendale|MSB|0011I00000cJUUNQA4||a1W1I000000aUaeUAE|F|AC Hotels By Marriott|NALO|West|0011I00000cJUUNQA4|0011I00000cJUUNQA4||Pre-Opening||
MHR  Montevideo CBD Uruguay|FS|||a1W1I000000aUcTUAU|M|Marriott Hotels & Resorts|INTL|CALA||0011I00000cJU6KQAW||Cancelled||
Courtyard by Marriott Santo Domingo|MSB|0011I00000cJSKkQAO|SDQCY|a1W1I000000aUcUUAU|M|Courtyard By Marriott|INTL|CALA||0011I00000cJSesQAG||Open||
AUTO Mendoza . Argentina|FS|||a1W1I000000aUcVUAU|M|Autograph Collection|INTL|CALA||||Cancelled||
Ramada Stadshotel Vimmerby|Other||HLFVI|a1W1I000000aUdUUAU|F|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Hotel Bellevue|Other||JKGBE|a1W1I000000aUdVUAU|F|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Hotel Smaland|Other||JKGSK|a1W1I000000aUdWUAU|F|Ramada Intl|INTL|Europe||||Deflagged||
MES Seattle|Other||-|a1W1I000000aUdXUAU|O|Marriott ExecuStay|NALO|West||||Deflagged||
MES Marlborough/Boston Metro West|Other||EXMXG|a1W1I000000aUdYUAU|F|Marriott ExecuStay|NALO|East||||Deflagged||
Convention Plaza Apartments|Other|0011I00000cJSKkQAO|HKG40|a1W1I000000aUeXUAU|M|Managed Serviced Apartments|INTL|Greater China||0011I00000cJSLhQAO||Open||
Cologne Marriott Hotel|FS|0011I00000cJSKkQAO|CGNMC|a1W1I000000aUeYUAU|M|Marriott Hotels & Resorts|INTL|Europe||0011I00000cJSisQAG||Open||
Courtyard by Marriott Galway City|MSB||GWYCY|a1W1I000000aUeZUAU|F|Courtyard By Marriott|INTL|Europe||||Deflagged||
Marriott's Desert Springs Villas II|Other|0011I00000cJSLcQAO|CTDVI|a1W1I000000aUU7UAM|F|Marriott Vacation Club Intl|NALO|West|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
Detroit Marriott Airport|FS||DTWAP|a1W1I000000aUU8UAM|M|Marriott Hotels & Resorts|NALO|West||||Deflagged||
MES Outside the US|Other||EXNAT|a1W1I000000aUU9UAM|M|Marriott ExecuStay|NALO|East||||Open||
Bangkok Marriott Resort & Spa|FS||BKKTH|a1W1I000000aUUAUA2|F|Marriott Hotels & Resorts|INTL|APEC||||Deflagged||
Marriott's Barony Beach Club|Other|0011I00000cJSLcQAO|HHHBB|a1W1I000000aUUBUA2|F|Marriott Vacation Club Intl|NALO|East|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
Stuttgart Marriott Hotel Sindelfingen|FS|0011I00000cJSKkQAO|ZPZDE|a1W1I000000aUUoUAM|M|Marriott Hotels & Resorts|INTL|Europe||0011I00000cJT6FQAW||Open||
Milan Marriott Hotel|FS|0011I00000cJSH7QAO|MILIT|a1W1I000000aUUpUAM|F|Marriott Hotels & Resorts|INTL|Europe|0011I00000cJSH7QAO|0011I00000cJSH7QAO||Open||
Cleveland Westlake|MSB||CLEWL|a1W1I000000aUVaUAM|F|Residence Inn By Marriott|NALO|West||||Deflagged||
Renaissance Boston Bedford Hotel|FS||BOSSB|a1W1I000000aUVbUAM|O|Renaissance Hotels & Resorts|NALO|East||||Deflagged||
Renaissance Beverly Hills Hotel|FS||LAXBR|a1W1I000000aUVcUAM|M|Renaissance Hotels & Resorts|NALO|West||||Deflagged||
Renaissance Sandakan Hotel|FS||SDKRN|a1W1I000000aUWTUA2|M|Renaissance Hotels & Resorts|INTL|APEC||||Deflagged||
Renaissance Jerusalem Hotel|FS||JRSRN|a1W1I000000aUWUUA2|F|Renaissance Hotels & Resorts|INTL|Europe||||Deflagged||
Renaissance Karlsruhe Hotel|FS||STRRN|a1W1I000000aUWVUA2|L|Renaissance Hotels & Resorts|INTL|Europe||||Deflagged||
Renaissance Cologne Hotel|FS||CGNRN|a1W1I000000aUWWUA2|L|Renaissance Hotels & Resorts|INTL|Europe||||Deflagged||
The Pujiang Oriental Mansion, Shenyang - Marriott Executive Apartments|Other||SHEPO|a1W1I000000aUXHUA2|M|Marriott Executive Apartments|INTL|Greater China||0011I00000cJTKjQAO||Pre-Opening||
Courtyard by Marriott Shanghai Pudong|MSB|0011I00000cJSKkQAO|SHACY|a1W1I000000aUXIUA2|M|Courtyard By Marriott|INTL|Greater China||0011I00000cJU3pQAG||Open||
Courtyard by Marriott Slough/Windsor|MSB||SLWIN|a1W1I000000aUXJUA2|F|Courtyard By Marriott|INTL|Europe||||Deflagged||
Courtyard by Marriott Ciudad del Carmen|MSB||CMECY|a1W1I000000aUYHUA2|M|Courtyard By Marriott|INTL|CALA||||Deflagged||
Courtyard Buenos Aires|MSB||BUECY|a1W1I000000aUYIUA2|M|Courtyard By Marriott|INTL|CALA||||Deflagged||
Residence Inn El Paso - Airport|MSB||ELPAP|a1W1I000000aUYJUA2|F|Residence Inn By Marriott|NALO|West||||Deflagged||
Renaissance Jackson Hole Resort|FS||JACBR|a1W1I000000aUYKUA2|F|Renaissance Hotels & Resorts|NALO|West||||Deflagged||
The Ritz-Carlton Kansas City|Luxury||MCIRZ|a1W1I000000aUYLUA2|M|The Ritz-Carlton|NALO|West||||Deflagged||
Ramada Garni Schwetzingen|Other||HDBGR|a1W1I000000aUZYUA2||Ramada Intl|INTL|Europe||||Deflagged||
Residence Inn Kansas City Overland Park|MSB||KCKOP|a1W1I000000aUZZUA2|F|Residence Inn By Marriott|NALO|West||||Deflagged||
New World Yangtze Shanghai|Other||SHANW|a1W1I000000aUZaUAM|M|New World Hotels Intl|INTL|Greater China||||Deflagged||
Marriott Tan-Tar-A Resort|FS||OSBMO|a1W1I000000aUZbUAM|M|Marriott Hotels & Resorts|NALO|West||||Deflagged||
Ramada-Treff Hotel  Baden-Baden|Other||FKBTQ|a1W1I000000aUZcUAM||Ramada Affiliate|INTL|Europe||||Deflagged||
Ramada Treff Hotel Walkmuehle|Other||NUELW|a1W1I000000aUZdUAM||Ramada Intl|INTL|Europe||||Deflagged||
Renaissance Bochum Hotel|FS|0011I00000cJScnQAG|QBOBR|a1W1I000000aUafUAE|F|Renaissance Hotels & Resorts|INTL|Europe|0011I00000cJScnQAG|0011I00000cJScnQAG||Deflagged||
RIBM Istanbul . Turkey|MSB|||a1W1I000000aUagUAE|M|Residence Inn By Marriott|INTL|Europe||0011I00000cJSvYQAW||Cancelled||
JW Marriott Hotel Kuwait City|Luxury|0011I00000cJSKkQAO|KWIJW|a1W1I000000aUahUAE|M|JW Marriott Hotels and Resorts|INTL|ME||0011I00000cJSaLQAW||Open||
Renaissance Naples Hotel Mediterraneo|FS|0011I00000cJSh4QAG|NAPBR|a1W1I000000aUcWUAU|F|Renaissance Hotels & Resorts|INTL|Europe|0011I00000cJSh4QAG|0011I00000cJSh4QAG||Open||
JW Marriott Capri Tiberio Palace Resort & Spa|Luxury||PRJMC|a1W1I000000aUcXUAU|F|JW Marriott Hotels and Resorts|INTL|Europe||||Deflagged||
Renaissance Milan Hotel|FS|0011I00000cJUMlQAO|MILBR|a1W1I000000aUcYUAU|F|Renaissance Hotels & Resorts|INTL|Europe|0011I00000cJUMlQAO|0011I00000cJUMlQAO||Cancelled||
MES Wilmington|Other||-|a1W1I000000aUdZUAU|F|Marriott ExecuStay|NALO|East||||Deflagged||
MES Phoenix|Other||-|a1W1I000000aUdaUAE|F|Marriott ExecuStay|NALO|West||||Deflagged||
MES Minneapolis|Other||EXMSP|a1W1I000000aUdbUAE|F|Marriott ExecuStay|NALO|West||||Deflagged||
Courtyard by Marriott Hamburg Airport|MSB|0011I00000cJSitQAG|HAMCY|a1W1I000000aUeaUAE|F|Courtyard By Marriott|INTL|Europe|0011I00000cJSitQAG|0011I00000cJSitQAG||Open||
Okinawa Marriott Resort & Spa|FS|0011I00000cJUTPQA4|OKAMC|a1W1I000000aUebUAE|F|Marriott Hotels & Resorts|INTL|APEC|0011I00000cJUTPQA4|0011I00000cJVb7QAG||Open||
St. Louis Airport/Hazelwood|MSB||STLHZ|a1W1I000000aUUCUA2|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Statesboro|MSB||SAVST|a1W1I000000aUUDUA2|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Statesville|MSB||HKYSV|a1W1I000000aUUEUA2|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Jefferson at the Northend|Other||DALJN|a1W1I000000aUUFUA2|F|Marriott ExecuStay|NALO|West||||Deflagged||
Refugio Place|Other||SATRP|a1W1I000000aUUGUA2|F|Marriott ExecuStay|NALO|West||||Deflagged||
MEA Fujairah . United Arab Emirates|Other|||a1W1I000000aUUHUA2|M|Marriott Executive Apartments|INTL|ME||0011I00000cJSwDQAW||Cancelled||
Marriott Hotel Al Forsan, Abu Dhabi|FS|0011I00000cJSKkQAO|AUHAL|a1W1I000000aUUqUAM|M|Marriott Hotels & Resorts|INTL|ME||0011I00000cJTjRQAW||Open||
Courtyard by Marriott Coventry|MSB||CVTCY|a1W1I000000aUUrUAM|F|Courtyard By Marriott|INTL|Europe||||Deflagged||
Bonn Marriott Hotel|FS|0011I00000cJUpsQAG|CGNBO|a1W1I000000aUUsUAM|F|Marriott Hotels & Resorts|INTL|Europe|0011I00000cJUpsQAG|0011I00000cJThTQAW||Open||
Renaissance Melaka Hotel|FS||MKZRN|a1W1I000000aUVdUAM|M|Renaissance Hotels & Resorts|INTL|APEC||||Deflagged||
Renaissance Miami Biscayne Bay Hotel|FS||MIARB|a1W1I000000aUVeUAM|M|Renaissance Hotels & Resorts|NALO|East||||Deflagged||
Renaissance Montreal Hotel|FS||YULBR|a1W1I000000aUVfUAM|F|Renaissance Hotels & Resorts|NALO|Canada||||Deflagged||
Autograph Collection Constantine|FS|0011I00000tT8JHQA0|CZLAK|a1W1I000000aUVgUAM|M|Autograph Collection|INTL|AFIO||0011I00000cJTjTQAW||Pre-Opening||
Courtyard by Marriott Warsaw City Center Poland|MSB|||a1W1I000000aUVhUAM|F|Courtyard By Marriott|INTL|Europe||0011I00000cJTflQAG||Cancelled||
Renaissance Kota Bharu Hotel|FS||KBRBR|a1W1I000000aUWXUA2|M|Renaissance Hotels & Resorts|INTL|APEC||||Deflagged||
Threadneedles, Autograph Collection®|FS|0011I00000cJVjqQAG|LONAK|a1W1I000000aUWYUA2|F|Autograph Collection|INTL|Europe|0011I00000cJTs1QAG|0011I00000cJTmuQAG||Open||
Salt Lake City Downtown/South|MSB||SLCCY|a1W1I000000aUXKUA2|F|Courtyard By Marriott|NALO|West||||Deflagged||
The Ritz-Carlton, Suzhou|Luxury||WUXRZ|a1W1I000000aUXLUA2|M|The Ritz-Carlton|INTL|Greater China||0011I00000cJTckQAG||Pre-Opening||
Courtyard  by Marriott Reading|MSB||LHRRD|a1W1I000000aUXMUA2|F|Courtyard By Marriott|INTL|Europe||||Deflagged||
The Ritz-Carlton Rancho Mirage|Luxury||PSPRZ|a1W1I000000aUYMUA2|M|The Ritz-Carlton|NALO|West||||Deflagged||
Marriott Westborough|FS||ORHWB|a1W1I000000aUYNUA2|M|Marriott Hotels & Resorts|NALO|East||||Deflagged||
Ramada Bad Oeynhausen Hotel|Other||BFEBO|a1W1I000000aUYOUA2||Ramada Intl|INTL|Europe||||Deflagged||
Ramada Geneva Hotel|Other||GVARH|a1W1I000000aUYPUA2|F|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Treff Gloecknerhof|Other||ZPMGH|a1W1I000000aUZeUAM||Ramada Intl|INTL|Europe||||Deflagged||
Ramada Treff Beau Rivage|Other||ZJITF|a1W1I000000aUZfUAM||Ramada Intl|INTL|Europe||||Deflagged||
Renaissance Grenada Resort|FS||GNDRN|a1W1I000000aUZgUAM|M|Renaissance Hotels & Resorts|INTL|CALA||||Deflagged||
Ramada Hotel Yangon Intl AP|Other||RGNHW|a1W1I000000aUZhUAM|M|Ramada Intl|INTL|APEC||||Deflagged||
Ramada Garni Hotel Gerlingen|Other||STRGR|a1W1I000000aUZiUAM||Ramada Intl|INTL|Europe||||Deflagged||
Ramada Munich Freising|Other||MUCSE|a1W1I000000aUZjUAM||Ramada Intl|INTL|Europe||||Deflagged||
Courtyard by Marriott Isla Verde Beach Resort|MSB|0011I00000cJUHlQAO|SJUIV|a1W1I000000aUaiUAE|F|Courtyard By Marriott|INTL|CALA|0011I00000cJSh2QAG|0011I00000cJSh2QAG||Open||
MES Albany|Other||-|a1W1I000000aUajUAE|F|Marriott ExecuStay|NALO|East||||Deflagged||
MES Albany|Other|0011I00000cJSbKQAW|EX860|a1W1I000000aUakUAE|F|Marriott ExecuStay|NALO|East|0011I00000cJSbKQAW|0011I00000cJSbKQAW||Deflagged||
CY  Isla Margarita Isla Margarita Venezuela|MSB|||a1W1I000000aUbfUAE|M|Courtyard By Marriott|INTL|CALA||0011I00000cJSfJQAW||Cancelled||
The Shelbourne Dublin, A Renaissance Hotel|FS|0011I00000cJSKkQAO|DUBBR|a1W1I000000aUcZUAU|M|Renaissance Hotels & Resorts|INTL|Europe||0011I00000cJUN9QAO||Deflagged||
Atago Forest Tower, Tokyo - Marriott Executive Apartments|Other|||a1W1I000000aUcaUAE|F|Marriott Executive Apartments|INTL|APEC||0011I00000cJSJXQA4||Cancelled||
Courtyard by Marriott Riyadh Olaya|MSB|0011I00000cJSKkQAO|RUHCY|a1W1I000000aUcbUAE|M|Courtyard By Marriott|INTL|ME||0011I00000cJStjQAG||Open||
Ningbo Marriott Hotel|FS|0011I00000cJSKkQAO|NGBMC|a1W1I000000aUdcUAE|M|Marriott Hotels & Resorts|INTL|Greater China||0011I00000cJSiUQAW||Open||
Ramada Stads Hasselholm|Other||KIDHA|a1W1I000000aUddUAE|F|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Hotel Svea|Other||KIDSI|a1W1I000000aUdeUAE|F|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Hotel Alfred Nobel|Other||KSKAL|a1W1I000000aUdfUAE|F|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Hotel Karlskoga|Other||KSKKA|a1W1I000000aUdgUAE||Ramada Intl|INTL|Europe||||Deflagged||
The Ritz-Carlton, Guangzhou|Luxury|0011I00000cJSGpQAO|CANRZ|a1W1I000000aUecUAE|M|The Ritz-Carlton|INTL|Greater China||0011I00000cJVpOQAW||Open||
RITZ Fuggiri Island Raa Atoll Maldives|Luxury|||a1W1I000000aUedUAE|M|The Ritz-Carlton|INTL|APEC||0011I00000cJTeyQAG||Cancelled||
The Ritz-Carlton, Tokyo|Luxury|0011I00000cJSGpQAO|TYORZ|a1W1I000000aUeeUAE|L|The Ritz-Carlton|INTL|APEC||0011I00000cJULtQAO||Open||
CY  Vienna Periphery Austria|MSB|||a1W1I000000aUegUAE|F|Courtyard By Marriott|INTL|Europe|0011I00000cJSHKQA4|0011I00000cJSHKQA4||Cancelled||
CY  Amsterdam Airport Netherlands|MSB|||a1W1I000000aUehUAE|F|Courtyard By Marriott|INTL|Europe||||Cancelled||
Sydney Marriott Hotel|FS||SYDCC|a1W1I000000aUUIUA2|F|Marriott Hotels & Resorts|INTL|APEC||||Deflagged||
Marriott's Maui Ocean Club|Other|0011I00000cJSLcQAO|HNMMH|a1W1I000000aUUJUA2|F|Marriott Vacation Club Intl|NALO|West|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
Marriott's MountainSide|Other|0011I00000cJSLcQAO|SLCMS|a1W1I000000aUUKUA2|F|Marriott Vacation Club Intl|NALO|West|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
Marriott's Newport Coast Villas|Other|0011I00000cJSLcQAO|LAXNC|a1W1I000000aUULUA2|F|Marriott Vacation Club Intl|NALO|West|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
Hamburg Treudelberg Marriott Hotel & Golf Club|FS||HAMGS|a1W1I000000aUUtUAM|F|Marriott Hotels & Resorts|INTL|Europe||||Deflagged||
Lakeside Chalet - Marriott Executive Apartment|Other|0011I00000cJSKkQAO|BOMER|a1W1I000000aUUuUAM|M|Marriott Executive Apartments|INTL|APEC||0011I00000cJSM6QAO||Open||
Hua Hin Marriott Resort & Spa|FS||HHQMC|a1W1I000000aUUvUAM|F|Marriott Hotels & Resorts|INTL|APEC||||Deflagged||
Renaissance Wailea Beach Resort|FS||HNMRN|a1W1I000000aUViUAM|M|Renaissance Hotels & Resorts|NALO|West||||Deflagged||
Renaissance Brussels Hotel|FS|0011I00000cJSKkQAO|BRUBR|a1W1I000000aUVjUAM|M|Renaissance Hotels & Resorts|INTL|Europe||0011I00000cJSrJQAW||Open||
Renaissance Moscow Olympic Hotel|FS||MOWRN|a1W1I000000aUVkUAM|M|Renaissance Hotels & Resorts|INTL|Europe||||Deflagged||
Renaissance Sao Paulo Hotel|FS|0011I00000cJSKkQAO|SAOBR|a1W1I000000aUWZUA2|M|Renaissance Hotels & Resorts|INTL|CALA||0011I00000cJSN8QAO||Open||
Renaissance Sapporo Hotel|FS||SPKRN|a1W1I000000aUWaUAM|F|Renaissance Hotels & Resorts|INTL|APEC||||Deflagged||
Renaissance Scottsdale Resort|FS||PHXSR|a1W1I000000aUWbUAM|M|Renaissance Hotels & Resorts|NALO|West||||Deflagged||
Courtyard by Marriott Regensburg|MSB||ZPMCY|a1W1I000000aUXNUA2|L|Courtyard By Marriott|INTL|Europe||||Deflagged||
Minneapolis Downtown at The Depot|MSB||MSPDT|a1W1I000000aUXOUA2|F|Courtyard By Marriott|NALO|West||||Deflagged||
AUTO Koh Samui Lamai Beach Thailand|FS|||a1W1I000000aUXPUA2|M|Autograph Collection|INTL|APEC||0011I00000cJSXlQAO||Cancelled||
Atlanta Glenridge/Perimeter|MSB||ATLDW|a1W1I000000aUXQUA2|M|Courtyard By Marriott|NALO|East||||Deflagged||
St. Louis Union Station Marriott|FS||STLUS|a1W1I000000aUYQUA2|F|Marriott Hotels & Resorts|NALO|West||||Deflagged||
Le Méridien Gangtok|FS||IXBMD|a1W1I000000aUYRUA2|M|Le Méridien|INTL|APEC||0011I00000cJU13QAG||Pre-Opening||
The Ritz-Carlton Executive Residences, Dubai International Financial Centre|Luxury|0011I00000cJSGpQAO|DXBRR|a1W1I000000aUYSUA2|M|The Ritz-Carlton|INTL|ME||0011I00000cJSpPQAW||Open||
Residence Inn Salt Lake City Trolley Sq.|MSB||SLCSL|a1W1I000000aUYTUA2|F|Residence Inn By Marriott|NALO|West||||Deflagged||
Ramada Dubai Continental|Other||DXBCN|a1W1I000000aUZkUAM|M|Ramada Intl|INTL|ME||||Deflagged||
Marriott Tan-Tar-A Estates|FS||OSBES|a1W1I000000aUZlUAM|M|Marriott Hotels & Resorts|NALO|West||||Deflagged||
Ramada Bucharest Airport|Other||BUHNR|a1W1I000000aUZnUAM||Ramada Intl|INTL|Europe||||Deflagged||
Ramada Treff Hotel Klinik-Med|Other||STRBR|a1W1I000000aUZoUAM||Ramada Intl|INTL|Europe||||Deflagged||
San Diego Mission Valley|MSB||SANMI|a1W1I000000aUZpUAM|F|Fairfield Inn & Suites|NALO|West||||Deflagged||
Marriott Rochester Thruway|FS||ROCTW|a1W1I000000aUZqUAM|F|Marriott Hotels & Resorts|NALO|East||||Deflagged||
Courtyard by Marriott Riyadh Financial North|MSB|0011I00000cJSKkQAO|RUHFN|a1W1I000000aUalUAE|M|Courtyard By Marriott|INTL|ME||0011I00000cJSziQAG||Pre-Opening||
Marriott's Waiohai Beach Club|Other|0011I00000cJSLcQAO|LIHWI|a1W1I000000aUamUAE|F|Marriott Vacation Club Intl|NALO|West|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
Renaissance Tunis Hotel|FS||TUNBR|a1W1I000000aUanUAE|F|Renaissance Hotels & Resorts|INTL|AFIO||||Deflagged||
CY  Valencia Valencia Venezuela|MSB|||a1W1I000000aUbgUAE|M|Courtyard By Marriott|INTL|CALA||0011I00000cJSfJQAW||Cancelled||
Renaissance Suzhou Hotel|FS|0011I00000cJSKkQAO|SZVBR|a1W1I000000aUbhUAE|M|Renaissance Hotels & Resorts|INTL|Greater China||0011I00000cJShIQAW||Open||
The Ritz-Carlton, Beijing, Central Place|Luxury|0011I00000cJSGpQAO|BJSRZ|a1W1I000000aUbiUAE|M|The Ritz-Carlton|INTL|Greater China||0011I00000cJVXZQA4||Open||
MHR UT Salt Lake City Sandy USA|FS|0011I00000cJU8BQAW||a1W1I000000aUbjUAE|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJU8BQAW|0011I00000cJU8BQAW||Cancelled||
Courtyard by Marriott Sydney-North Ryde|MSB|0011I00000cJSKkQAO|SYDRY|a1W1I000000aUccUAE|M|Courtyard By Marriott|INTL|APEC||0011I00000cJSc5QAG||Open||
Courtyard by Marriott Brussels|MSB|0011I00000cJSKkQAO|BRUCY|a1W1I000000aUcdUAE|M|Courtyard By Marriott|INTL|Europe||0011I00000cJSdTQAW||Open||
Palm Springs, Beijing - Marriott Executive Apartments|Other||BJSER|a1W1I000000aUceUAE|M|Marriott Executive Apartments|INTL|Greater China||||Deflagged||
The Ritz-Carlton Beijing, Financial Street|Luxury|0011I00000cJSGpQAO|BJSFS|a1W1I000000aUdhUAE|M|The Ritz-Carlton|INTL|Greater China||0011I00000cJUMuQAO||Open||
phi|Other||.|a1W1I000000aUdiUAE||Marriott ExecuStay|NALO|West||||Cancelled||
MES Baltimore Annapolis|Other||-|a1W1I000000aUdjUAE|O|Marriott ExecuStay|NALO|East||||Deflagged||
MES MD Annapolis Annapolis USA|Other||EXANP|a1W1I000000aUdkUAE|M|Marriott ExecuStay|NALO|East||||Deflagged||
Ramada Jarvis Bowden Hall|Other||GLOBO|a1W1I000000aUeiUAE|M|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Jarvis Marylebone|Other||LONMR|a1W1I000000aUejUAE|M|Ramada Intl|INTL|Europe||||Deflagged||
Courtyard by Marriott Rome Central Park|MSB|0011I00000cJSqjQAG|ROMCP|a1W1I000000aUekUAE|F|Courtyard By Marriott|INTL|Europe|0011I00000cJSqjQAG|0011I00000cJSqjQAG||Open||
Rayong Marriott Resort & Spa|FS|0011I00000cJSKkQAO|BKKRR|a1W1I000000aUelUAE|M|Marriott Hotels & Resorts|INTL|APEC||0011I00000cJSjxQAG||Open||
Ramada Jarvis Gatwick/East Grinstead|Other||LGWEG|a1W1I000000aUUMUA2|M|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Jarvis Glasgow|Other||GLAGS|a1W1I000000aUUNUA2|F|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Jarvis Gourock|Other||GLAGO|a1W1I000000aUUOUA2|M|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Jarvis Grange|Other||BRSGR|a1W1I000000aUUPUA2|M|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Jarvis Guildford/Leatherhead|Other||LHRLE|a1W1I000000aUUQUA2|M|Ramada Intl|INTL|Europe||||Deflagged||
Guam Marriott Resort & Spa|FS||GUMRT|a1W1I000000aUURUA2|M|Marriott Hotels & Resorts|INTL|APEC||||Deflagged||
AC Hotel Riga|MSB|0011I00000cJTtoQAG|RIXAC|a1W1I000000aUUwUAM|F|AC Hotels By Marriott|INTL|Europe|0011I00000cJTqzQAG|0011I00000cJTtnQAG||Open||
Leipzig Marriott Hotel|FS|0011I00000cJSKkQAO|LEJDT|a1W1I000000aUUxUAM|L|Marriott Hotels & Resorts|INTL|Europe||0011I00000cJVVvQAO||Open||
Hurghada Marriott Beach Resort|FS|0011I00000cJSKkQAO|HRGEG|a1W1I000000aUUyUAM|M|Marriott Hotels & Resorts|INTL|AFIO||0011I00000cJU2bQAG||Open||
Renaissance Mumbai Convention Centre Hotel|FS|0011I00000cJSKkQAO|BOMBR|a1W1I000000aUVlUAM|M|Renaissance Hotels & Resorts|INTL|APEC||0011I00000cJSM6QAO||Open||
Renaissance Munich Hotel|FS||MUCBR|a1W1I000000aUVmUAM|L|Renaissance Hotels & Resorts|INTL|Europe||||Deflagged||
Renaissance Naruto Resort|FS|0011I00000cJSiaQAG|TKSRN|a1W1I000000aUVnUAM|F|Renaissance Hotels & Resorts|INTL|APEC|0011I00000cJSiaQAG|0011I00000cJSiaQAG||Deflagged||
Renaissance Seoul Hotel|FS||SELRN|a1W1I000000aUWcUAM|M|Renaissance Hotels & Resorts|INTL|APEC||||Deflagged||
Atlanta Perimeter Center East|MSB||ATLRN|a1W1I000000aUWdUAM|M|Residence Inn By Marriott|NALO|East||||Deflagged||
Courtyard by Marriott Eisenach|MSB||EIBCY|a1W1I000000aUWeUAM|M|Courtyard By Marriott|INTL|Europe||||Deflagged||
